Requirement ID,Requirement,Phase,Component,Test ID,Evidence,Status
AUD-001,Record required append-only audit events,2,Activity service,TEST-AUD-001,app/src/__tests__/aud.test.ts (TEST-AUD-001 PASS),PASS
NFR-001,Application must run locally on Windows 11 and Ubuntu LTS,1,Platform,TEST-NFR-001,app/src/__tests__/nfr001-run.test.ts (build+serve 200),PASS
NFR-002,All persisted data must survive application restart,8,Persistence,TEST-NFR-002,PENDING,NOT_STARTED
NFR-003,TypeScript strict mode must pass without errors,1,Code quality,TEST-NFR-003,app/src/__tests__/nfr003-strict-ts.test.ts (tsc strict 0 errors),PASS
NFR-004,Core pages must meet WCAG 2.1 AA keyboard and contrast expectations,8,Accessibility,TEST-NFR-004,PENDING,NOT_STARTED
NFR-005,Primary list and dashboard actions should respond within two seconds at MVP data volume,8,Performance,TEST-NFR-005,PENDING,NOT_STARTED
NFR-006,Rendered Markdown and user text must be sanitized,8,Security,TEST-NFR-006,PENDING,NOT_STARTED
NFR-007,Production release must have no unresolved critical dependency vulnerabilities,9,Security,TEST-NFR-007,PENDING,NOT_STARTED
NFR-008,All dates must be stored in UTC and displayed in owner timezone,2,Date handling,TEST-NFR-008,app/src/__tests__/nfr008.test.ts (TEST-NFR-008 PASS),PASS
NFR-009,Critical records and decisions must be append-only or versioned,5,Integrity,TEST-NFR-009,PENDING,NOT_STARTED
NFR-010,Every completed requirement must link to passing evidence,8,Traceability,TEST-NFR-010,PENDING,NOT_STARTED
INT-001,Capture and approve a plain-language Project Intent Brief with outcome audience constraints success measures commercial target and priorities,2,Intent service,TEST-INT-001,app/src/__tests__/intent.test.ts (TEST-INT-001 PASS),PASS
INT-002,Create and approve a project benchmark brief with target dimensions differentiators and intentional omissions,2,Intent service,TEST-INT-002,app/src/__tests__/intent.test.ts (TEST-INT-002 PASS),PASS
DSG-001,Trace approved intent into requirements and acceptance criteria without silently changing owner intent,2,Design service,TEST-DSG-001,app/src/__tests__/intent.test.ts (TEST-DSG-001 PASS),PASS
DSG-002,Map requirements to deliverables dependencies and executable work packets with explicit exclusions and evidence expectations,4,Design service,TEST-DSG-002,PENDING,NOT_STARTED
QLT-001,Create and version a project Quality Profile with project-type quality dimensions and target levels,6,Quality service,TEST-QLT-001,PENDING,NOT_STARTED
QLT-002,Evaluate work packet deliverable stage and release quality gates using retained evidence,5,Quality gate service,TEST-QLT-002,PENDING,NOT_STARTED
QLT-003,Record benchmark gaps and show whether mandatory commercial targets are met or explicitly accepted,7,Quality dashboard,TEST-QLT-003,PENDING,NOT_STARTED
QLT-004,Distinguish technically ready from commercially ready release states,9,Release manager,TEST-QLT-004,PENDING,NOT_STARTED
LRN-001,Capture learning records from defects feedback tests benchmarks usability commercial insights agent failures and retrospectives,5,Learning service,TEST-LRN-001,PENDING,NOT_STARTED
LRN-002,Convert assessed learning into controlled change requests requirements or backlog without silently expanding scope,5,Learning service,TEST-LRN-002,PENDING,NOT_STARTED
AUT-001,Calculate autonomy rate and first-pass acceptance from auditable execution and review records,7,Metrics service,TEST-AUT-001,PENDING,NOT_STARTED
AUT-002,Record and display owner attention time without suppressing required escalations,7,Metrics service,TEST-AUT-002,PENDING,NOT_STARTED
AUT-003,Record escalation quality and identify unnecessary escalation events,7,Metrics service,TEST-AUT-003,PENDING,NOT_STARTED
AUT-004,Calculate autonomous recovery rate from classified recoverable execution incidents,7,Metrics service,TEST-AUT-004,PENDING,NOT_STARTED
SEVL-001,Complete one persisted end-to-end Smallest Executable VSO Loop from intent through learning with evidence and review,5,SEVL integration,TEST-SEVL-001,PENDING,NOT_STARTED
